Nacionalidad;Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Año;Total
Alemania;Ambos sexos;Total Nacional;;2022;116.122
Austria;Ambos sexos;Total Nacional;;2022;7.574
Bélgica;Ambos sexos;Total Nacional;;2022;37.296
Bulgaria;Ambos sexos;Total Nacional;;2022;114.522
Chipre;Ambos sexos;Total Nacional;;2022;549
Croacia;Ambos sexos;Total Nacional;;2022;3.138
Dinamarca;Ambos sexos;Total Nacional;;2022;9.136
Eslovenia;Ambos sexos;Total Nacional;;2022;1.854
Estonia;Ambos sexos;Total Nacional;;2022;2.841
Finlandia;Ambos sexos;Total Nacional;;2022;11.383
Francia;Ambos sexos;Total Nacional;;2022;115.320
Grecia;Ambos sexos;Total Nacional;;2022;5.421
Hungría;Ambos sexos;Total Nacional;;2022;10.986
Irlanda;Ambos sexos;Total Nacional;;2022;19.491
Italia;Ambos sexos;Total Nacional;;2022;275.654
Letonia;Ambos sexos;Total Nacional;;2022;5.455
Lituania;Ambos sexos;Total Nacional;;2022;15.841
Luxemburgo;Ambos sexos;Total Nacional;;2022;744
Malta;Ambos sexos;Total Nacional;;2022;446
Países Bajos;Ambos sexos;Total Nacional;;2022;50.278
Polonia;Ambos sexos;Total Nacional;;2022;52.882
Portugal;Ambos sexos;Total Nacional;;2022;98.874
República Checa;Ambos sexos;Total Nacional;;2022;7.199
República Eslovaca;Ambos sexos;Total Nacional;;2022;5.900
Rumanía;Ambos sexos;Total Nacional;;2022;627.478
Suecia;Ambos sexos;Total Nacional;;2022;21.527
Albania;Ambos sexos;Total Nacional;;2022;5.022
Andorra;Ambos sexos;Total Nacional;;2022;1.138
Armenia;Ambos sexos;Total Nacional;;2022;11.814
Belarús;Ambos sexos;Total Nacional;;2022;6.361
Bosnia y Herzegovina;Ambos sexos;Total Nacional;;2022;1.182
Georgia;Ambos sexos;Total Nacional;;2022;20.655
Islandia;Ambos sexos;Total Nacional;;2022;1.506
Liechtenstein;Ambos sexos;Total Nacional;;2022;33
Macedonia;Ambos sexos;Total Nacional;;2022;688
Moldavia;Ambos sexos;Total Nacional;;2022;17.239
Noruega;Ambos sexos;Total Nacional;;2022;11.577
Reino Unido;Ambos sexos;Total Nacional;;2022;293.171
Rusia;Ambos sexos;Total Nacional;;2022;82.380
Serbia y Montenegro (Antigua Yugoslavia);Ambos sexos;Total Nacional;;2022;0
Serbia;Ambos sexos;Total Nacional;;2022;3.943
Suiza;Ambos sexos;Total Nacional;;2022;13.866
Turquía;Ambos sexos;Total Nacional;;2022;5.542
Ucrania;Ambos sexos;Total Nacional;;2022;111.443
Resto de Nacionalidades Europeas;Ambos sexos;Total Nacional;;2022;490
Angola;Ambos sexos;Total Nacional;;2022;1.519
Argelia;Ambos sexos;Total Nacional;;2022;63.964
Benin;Ambos sexos;Total Nacional;;2022;337
Burkina Faso;Ambos sexos;Total Nacional;;2022;1.513
Cabo Verde;Ambos sexos;Total Nacional;;2022;2.609
Camerún;Ambos sexos;Total Nacional;;2022;6.186
Congo;Ambos sexos;Total Nacional;;2022;1.270
Costa de Marfil;Ambos sexos;Total Nacional;;2022;5.259
Egipto;Ambos sexos;Total Nacional;;2022;4.421
Etiopía;Ambos sexos;Total Nacional;;2022;552
Gambia;Ambos sexos;Total Nacional;;2022;23.253
Ghana;Ambos sexos;Total Nacional;;2022;20.672
Guinea;Ambos sexos;Total Nacional;;2022;11.162
Guinea Ecuatorial;Ambos sexos;Total Nacional;;2022;12.291
Guinea-Bissau;Ambos sexos;Total Nacional;;2022;4.598
Kenia;Ambos sexos;Total Nacional;;2022;1.426
Liberia;Ambos sexos;Total Nacional;;2022;225
Mali;Ambos sexos;Total Nacional;;2022;31.792
Marruecos;Ambos sexos;Total Nacional;;2022;883.243
Mauritania;Ambos sexos;Total Nacional;;2022;8.844
Nigeria;Ambos sexos;Total Nacional;;2022;36.367
República Democrática del Congo;Ambos sexos;Total Nacional;;2022;818
Senegal;Ambos sexos;Total Nacional;;2022;83.260
Sierra Leona;Ambos sexos;Total Nacional;;2022;693
Sudáfrica;Ambos sexos;Total Nacional;;2022;1.732
Togo;Ambos sexos;Total Nacional;;2022;454
Túnez;Ambos sexos;Total Nacional;;2022;3.102
Resto de África;Ambos sexos;Total Nacional;;2022;6.144
Costa Rica;Ambos sexos;Total Nacional;;2022;3.326
Cuba;Ambos sexos;Total Nacional;;2022;63.618
Dominica;Ambos sexos;Total Nacional;;2022;566
El Salvador;Ambos sexos;Total Nacional;;2022;24.517
Guatemala;Ambos sexos;Total Nacional;;2022;7.810
Honduras;Ambos sexos;Total Nacional;;2022;134.125
Nicaragua;Ambos sexos;Total Nacional;;2022;60.681
Panamá;Ambos sexos;Total Nacional;;2022;3.101
República Dominicana;Ambos sexos;Total Nacional;;2022;69.399
Resto de América Central y Caribe;Ambos sexos;Total Nacional;;2022;1.318
Canadá;Ambos sexos;Total Nacional;;2022;5.385
Estados Unidos de América;Ambos sexos;Total Nacional;;2022;41.953
México;Ambos sexos;Total Nacional;;2022;29.290
Argentina;Ambos sexos;Total Nacional;;2022;97.257
Bolivia;Ambos sexos;Total Nacional;;2022;79.233
Brasil;Ambos sexos;Total Nacional;;2022;91.045
Chile;Ambos sexos;Total Nacional;;2022;28.256
Colombia;Ambos sexos;Total Nacional;;2022;314.679
Ecuador;Ambos sexos;Total Nacional;;2022;119.885
Paraguay;Ambos sexos;Total Nacional;;2022;83.965
Perú;Ambos sexos;Total Nacional;;2022;120.255
Uruguay;Ambos sexos;Total Nacional;;2022;27.208
Venezuela;Ambos sexos;Total Nacional;;2022;212.064
Resto de América del Sur;Ambos sexos;Total Nacional;;2022;53
Arabia Saudí;Ambos sexos;Total Nacional;;2022;1.058
