Nacionalidad;Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Año;Total
EUROPA;Hombres;Total Nacional;01 Andalucía;2022;163.279
EUROPA;Hombres;Total Nacional;01 Andalucía;2021;157.404
EUROPA;Hombres;Total Nacional;01 Andalucía;2020;155.569
EUROPA;Hombres;Total Nacional;01 Andalucía;2019;150.933
EUROPA;Hombres;Total Nacional;01 Andalucía;2018;147.234
EUROPA;Hombres;Total Nacional;02 Aragón;2022;33.831
EUROPA;Hombres;Total Nacional;02 Aragón;2021;34.140
EUROPA;Hombres;Total Nacional;02 Aragón;2020;34.980
EUROPA;Hombres;Total Nacional;02 Aragón;2019;33.962
EUROPA;Hombres;Total Nacional;02 Aragón;2018;31.880
EUROPA;Hombres;Total Nacional;03 Asturias, Principado de;2022;7.673
EUROPA;Hombres;Total Nacional;03 Asturias, Principado de;2021;7.972
EUROPA;Hombres;Total Nacional;03 Asturias, Principado de;2020;8.123
EUROPA;Hombres;Total Nacional;03 Asturias, Principado de;2019;8.066
EUROPA;Hombres;Total Nacional;03 Asturias, Principado de;2018;8.200
EUROPA;Hombres;Total Nacional;04 Balears, Illes;2022;52.457
EUROPA;Hombres;Total Nacional;04 Balears, Illes;2021;51.136
EUROPA;Hombres;Total Nacional;04 Balears, Illes;2020;50.974
EUROPA;Hombres;Total Nacional;04 Balears, Illes;2019;49.139
EUROPA;Hombres;Total Nacional;04 Balears, Illes;2018;47.748
EUROPA;Hombres;Total Nacional;05 Canarias;2022;82.594
EUROPA;Hombres;Total Nacional;05 Canarias;2021;81.445
EUROPA;Hombres;Total Nacional;05 Canarias;2020;82.297
EUROPA;Hombres;Total Nacional;05 Canarias;2019;80.561
EUROPA;Hombres;Total Nacional;05 Canarias;2018;77.630
EUROPA;Hombres;Total Nacional;06 Cantabria;2022;7.452
EUROPA;Hombres;Total Nacional;06 Cantabria;2021;7.301
EUROPA;Hombres;Total Nacional;06 Cantabria;2020;7.238
EUROPA;Hombres;Total Nacional;06 Cantabria;2019;6.998
EUROPA;Hombres;Total Nacional;06 Cantabria;2018;6.812
EUROPA;Hombres;Total Nacional;07 Castilla y León;2022;31.262
EUROPA;Hombres;Total Nacional;07 Castilla y León;2021;31.631
EUROPA;Hombres;Total Nacional;07 Castilla y León;2020;31.943
EUROPA;Hombres;Total Nacional;07 Castilla y León;2019;31.703
EUROPA;Hombres;Total Nacional;07 Castilla y León;2018;31.878
EUROPA;Hombres;Total Nacional;08 Castilla - La Mancha;2022;40.650
EUROPA;Hombres;Total Nacional;08 Castilla - La Mancha;2021;41.324
EUROPA;Hombres;Total Nacional;08 Castilla - La Mancha;2020;42.107
EUROPA;Hombres;Total Nacional;08 Castilla - La Mancha;2019;41.796
EUROPA;Hombres;Total Nacional;08 Castilla - La Mancha;2018;42.593
EUROPA;Hombres;Total Nacional;09 Cataluña;2022;198.735
EUROPA;Hombres;Total Nacional;09 Cataluña;2021;191.586
EUROPA;Hombres;Total Nacional;09 Cataluña;2020;193.180
EUROPA;Hombres;Total Nacional;09 Cataluña;2019;182.871
EUROPA;Hombres;Total Nacional;09 Cataluña;2018;175.049
EUROPA;Hombres;Total Nacional;10 Comunitat Valenciana;2022;204.745
EUROPA;Hombres;Total Nacional;10 Comunitat Valenciana;2021;196.387
EUROPA;Hombres;Total Nacional;10 Comunitat Valenciana;2020;197.352
EUROPA;Hombres;Total Nacional;10 Comunitat Valenciana;2019;192.293
EUROPA;Hombres;Total Nacional;10 Comunitat Valenciana;2018;186.765
EUROPA;Hombres;Total Nacional;11 Extremadura;2022;7.254
EUROPA;Hombres;Total Nacional;11 Extremadura;2021;7.361
EUROPA;Hombres;Total Nacional;11 Extremadura;2020;7.489
EUROPA;Hombres;Total Nacional;11 Extremadura;2019;7.387
EUROPA;Hombres;Total Nacional;11 Extremadura;2018;7.449
EUROPA;Hombres;Total Nacional;12 Galicia;2022;20.253
EUROPA;Hombres;Total Nacional;12 Galicia;2021;20.419
EUROPA;Hombres;Total Nacional;12 Galicia;2020;20.640
EUROPA;Hombres;Total Nacional;12 Galicia;2019;19.914
EUROPA;Hombres;Total Nacional;12 Galicia;2018;19.735
EUROPA;Hombres;Total Nacional;13 Madrid, Comunidad de;2022;158.356
EUROPA;Hombres;Total Nacional;13 Madrid, Comunidad de;2021;159.497
EUROPA;Hombres;Total Nacional;13 Madrid, Comunidad de;2020;162.207
EUROPA;Hombres;Total Nacional;13 Madrid, Comunidad de;2019;158.461
EUROPA;Hombres;Total Nacional;13 Madrid, Comunidad de;2018;155.266
EUROPA;Hombres;Total Nacional;14 Murcia, Región de;2022;27.327
EUROPA;Hombres;Total Nacional;14 Murcia, Región de;2021;26.997
EUROPA;Hombres;Total Nacional;14 Murcia, Región de;2020;26.912
EUROPA;Hombres;Total Nacional;14 Murcia, Región de;2019;26.369
EUROPA;Hombres;Total Nacional;14 Murcia, Región de;2018;25.971
EUROPA;Hombres;Total Nacional;15 Navarra, Comunidad Foral de;2022;12.118
EUROPA;Hombres;Total Nacional;15 Navarra, Comunidad Foral de;2021;12.268
EUROPA;Hombres;Total Nacional;15 Navarra, Comunidad Foral de;2020;12.439
EUROPA;Hombres;Total Nacional;15 Navarra, Comunidad Foral de;2019;12.191
EUROPA;Hombres;Total Nacional;15 Navarra, Comunidad Foral de;2018;11.904
EUROPA;Hombres;Total Nacional;16 País Vasco;2022;22.323
EUROPA;Hombres;Total Nacional;16 País Vasco;2021;22.593
EUROPA;Hombres;Total Nacional;16 País Vasco;2020;22.534
