Provincias;Sexo;Nacionalidad;Año;Total
TOTAL ESPAÑA;Hombres;UNIÓN EUROPEA;2022;805.645
TOTAL ESPAÑA;Hombres;UNIÓN EUROPEA;2021;793.642
TOTAL ESPAÑA;Hombres;UNIÓN EUROPEA;2020;940.406
TOTAL ESPAÑA;Hombres;UNIÓN EUROPEA;2019;914.898
TOTAL ESPAÑA;Hombres;UNIÓN EUROPEA;2018;893.497
TOTAL ESPAÑA;Hombres;EUROPA NO UE(27_2020);2022;274.021
TOTAL ESPAÑA;Hombres;EUROPA NO UE(27_2020);2021;265.285
TOTAL ESPAÑA;Hombres;EUROPA NO UE(27_2020);2020;258.774
TOTAL ESPAÑA;Hombres;EUROPA NO UE(27_2020);2019;245.687
TOTAL ESPAÑA;Hombres;EUROPA NO UE(27_2020);2018;235.403
TOTAL ESPAÑA;Hombres;ÁFRICA;2022;728.528
TOTAL ESPAÑA;Hombres;ÁFRICA;2021;714.386
TOTAL ESPAÑA;Hombres;ÁFRICA;2020;711.905
TOTAL ESPAÑA;Hombres;ÁFRICA;2019;665.610
TOTAL ESPAÑA;Hombres;ÁFRICA;2018;630.643
TOTAL ESPAÑA;Hombres;AMÉRICA CENTRAL Y CARIBE;2022;140.392
TOTAL ESPAÑA;Hombres;AMÉRICA CENTRAL Y CARIBE;2021;136.453
TOTAL ESPAÑA;Hombres;AMÉRICA CENTRAL Y CARIBE;2020;131.843
TOTAL ESPAÑA;Hombres;AMÉRICA CENTRAL Y CARIBE;2019;107.495
TOTAL ESPAÑA;Hombres;AMÉRICA CENTRAL Y CARIBE;2018;90.557
TOTAL ESPAÑA;Hombres;AMÉRICA DEL NORTE;2022;32.886
TOTAL ESPAÑA;Hombres;AMÉRICA DEL NORTE;2021;31.188
TOTAL ESPAÑA;Hombres;AMÉRICA DEL NORTE;2020;32.057
TOTAL ESPAÑA;Hombres;AMÉRICA DEL NORTE;2019;29.166
TOTAL ESPAÑA;Hombres;AMÉRICA DEL NORTE;2018;27.164
TOTAL ESPAÑA;Hombres;AMÉRICA DEL SUR;2022;523.644
TOTAL ESPAÑA;Hombres;AMÉRICA DEL SUR;2021;505.985
TOTAL ESPAÑA;Hombres;AMÉRICA DEL SUR;2020;496.963
TOTAL ESPAÑA;Hombres;AMÉRICA DEL SUR;2019;421.099
TOTAL ESPAÑA;Hombres;AMÉRICA DEL SUR;2018;372.713
TOTAL ESPAÑA;Hombres;ASIA;2022;268.880
TOTAL ESPAÑA;Hombres;ASIA;2021;274.279
TOTAL ESPAÑA;Hombres;ASIA;2020;277.692
TOTAL ESPAÑA;Hombres;ASIA;2019;259.584
TOTAL ESPAÑA;Hombres;ASIA;2018;243.663
TOTAL ESPAÑA;Hombres;OCEANÍA;2022;2.021
TOTAL ESPAÑA;Hombres;OCEANÍA;2021;2.022
TOTAL ESPAÑA;Hombres;OCEANÍA;2020;2.065
TOTAL ESPAÑA;Hombres;OCEANÍA;2019;1.898
TOTAL ESPAÑA;Hombres;OCEANÍA;2018;1.797
TOTAL ESPAÑA;Hombres;APÁTRIDAS;2022;2.197
TOTAL ESPAÑA;Hombres;APÁTRIDAS;2021;1.912
TOTAL ESPAÑA;Hombres;APÁTRIDAS;2020;1.751
TOTAL ESPAÑA;Hombres;APÁTRIDAS;2019;1.415
TOTAL ESPAÑA;Hombres;APÁTRIDAS;2018;1.046
TOTAL ESPAÑA;Mujeres;UNIÓN EUROPEA;2022;812.266
