Provincias;Sexo;Nacionalidad;Año;Total
02 Albacete;Ambos sexos;TOTAL EXTRANJEROS;2022;27.558
02 Albacete;Ambos sexos;TOTAL EXTRANJEROS;2021;26.799
02 Albacete;Ambos sexos;TOTAL EXTRANJEROS;2020;26.324
02 Albacete;Ambos sexos;TOTAL EXTRANJEROS;2019;24.586
02 Albacete;Ambos sexos;TOTAL EXTRANJEROS;2018;23.761
02 Albacete;Ambos sexos;TOTAL EXTRANJEROS;2017;22.966
02 Albacete;Ambos sexos;TOTAL EXTRANJEROS;2016;23.985
02 Albacete;Ambos sexos;TOTAL EXTRANJEROS;2015;25.171
02 Albacete;Ambos sexos;TOTAL EXTRANJEROS;2014;27.052
02 Albacete;Ambos sexos;TOTAL EXTRANJEROS;2013;30.383
02 Albacete;Ambos sexos;TOTAL EXTRANJEROS;2012;32.102
02 Albacete;Ambos sexos;TOTAL EXTRANJEROS;2011;32.083
02 Albacete;Ambos sexos;TOTAL EXTRANJEROS;2010;32.405
02 Albacete;Ambos sexos;TOTAL EXTRANJEROS;2009;32.811
02 Albacete;Ambos sexos;TOTAL EXTRANJEROS;2008;31.128
02 Albacete;Ambos sexos;TOTAL EXTRANJEROS;2007;26.348
02 Albacete;Ambos sexos;TOTAL EXTRANJEROS;2006;22.811
02 Albacete;Ambos sexos;TOTAL EXTRANJEROS;2005;20.552
02 Albacete;Ambos sexos;TOTAL EXTRANJEROS;2004;16.065
02 Albacete;Ambos sexos;TOTAL EXTRANJEROS;2003;13.318
02 Albacete;Ambos sexos;TOTAL EXTRANJEROS;2002;9.487
02 Albacete;Ambos sexos;TOTAL EXTRANJEROS;2001;5.084
02 Albacete;Ambos sexos;TOTAL EXTRANJEROS;2000;1.854
02 Albacete;Ambos sexos;TOTAL EXTRANJEROS;1999;1.261
02 Albacete;Ambos sexos;TOTAL EXTRANJEROS;1998;1.115
02 Albacete;Hombres;TOTAL EXTRANJEROS;2022;14.930
02 Albacete;Hombres;TOTAL EXTRANJEROS;2021;14.454
02 Albacete;Hombres;TOTAL EXTRANJEROS;2020;14.254
02 Albacete;Hombres;TOTAL EXTRANJEROS;2019;13.263
02 Albacete;Hombres;TOTAL EXTRANJEROS;2018;12.842
02 Albacete;Hombres;TOTAL EXTRANJEROS;2017;12.486
02 Albacete;Hombres;TOTAL EXTRANJEROS;2016;13.024
02 Albacete;Hombres;TOTAL EXTRANJEROS;2015;13.598
02 Albacete;Hombres;TOTAL EXTRANJEROS;2014;14.566
02 Albacete;Hombres;TOTAL EXTRANJEROS;2013;16.375
02 Albacete;Hombres;TOTAL EXTRANJEROS;2012;17.343
02 Albacete;Hombres;TOTAL EXTRANJEROS;2011;17.363
02 Albacete;Hombres;TOTAL EXTRANJEROS;2010;17.761
02 Albacete;Hombres;TOTAL EXTRANJEROS;2009;18.170
02 Albacete;Hombres;TOTAL EXTRANJEROS;2008;17.521
02 Albacete;Hombres;TOTAL EXTRANJEROS;2007;14.835
02 Albacete;Hombres;TOTAL EXTRANJEROS;2006;12.936
02 Albacete;Hombres;TOTAL EXTRANJEROS;2005;11.771
02 Albacete;Hombres;TOTAL EXTRANJEROS;2004;9.317
02 Albacete;Hombres;TOTAL EXTRANJEROS;2003;7.882
02 Albacete;Hombres;TOTAL EXTRANJEROS;2002;5.625
02 Albacete;Hombres;TOTAL EXTRANJEROS;2001;3.004
02 Albacete;Hombres;TOTAL EXTRANJEROS;2000;1.002
02 Albacete;Hombres;TOTAL EXTRANJEROS;1999;622
02 Albacete;Hombres;TOTAL EXTRANJEROS;1998;541
02 Albacete;Mujeres;TOTAL EXTRANJEROS;2022;12.628
