COUB,Country of birth,FBORN,Place of birth,EDU,Education level,LFS,Labour force status,FSTUDY,Field of study,COU,Country of residence,Value,Flag Codes,Flags
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,1,Employed,2,Education,AUS,Australia,5155,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,2,Unemployed,2,Education,AUS,Australia,209,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,3,Inactive,2,Education,AUS,Australia,1884,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,99,Unknown labour force status,2,Education,AUS,Australia,21,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,ALL_LFS,All labour force status,2,Education,AUS,Australia,7269,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,1,Employed,3,Art And Humanities,AUS,Australia,5258,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,2,Unemployed,3,Art And Humanities,AUS,Australia,385,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,3,Inactive,3,Art And Humanities,AUS,Australia,1778,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,99,Unknown labour force status,3,Art And Humanities,AUS,Australia,19,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,ALL_LFS,All labour force status,3,Art And Humanities,AUS,Australia,7440,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,1,Employed,4,Social Sciences, Business And Law,AUS,Australia,13456,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,2,Unemployed,4,Social Sciences, Business And Law,AUS,Australia,841,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,3,Inactive,4,Social Sciences, Business And Law,AUS,Australia,2667,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,99,Unknown labour force status,4,Social Sciences, Business And Law,AUS,Australia,34,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,ALL_LFS,All labour force status,4,Social Sciences, Business And Law,AUS,Australia,16998,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,1,Employed,5,Science,AUS,Australia,5101,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,2,Unemployed,5,Science,AUS,Australia,399,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,3,Inactive,5,Science,AUS,Australia,1014,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,99,Unknown labour force status,5,Science,AUS,Australia,4,,
