COUB,Country of birth,FBORN,Place of birth,EDU,Education level,AGE,Age,SEX,Sex,COU,Country of residence,Value,Flag Codes,Flags
AFRI,Africa,1,Foreign-born,2,ISCED 3/4,3_10,25-64 years,2,Women,AUS,Australia,15030,,
AFRI,Africa,1,Foreign-born,2,ISCED 3/4,3_10,25-64 years,1,Men,AUS,Australia,21311,,
AFRI,Africa,1,Foreign-born,2,ISCED 3/4,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,36341,,
AFRI,Africa,ALL_FBORN,All places of birth,2,ISCED 3/4,3_10,25-64 years,2,Women,AUS,Australia,15030,,
AFRI,Africa,ALL_FBORN,All places of birth,2,ISCED 3/4,3_10,25-64 years,1,Men,AUS,Australia,21311,,
AFRI,Africa,ALL_FBORN,All places of birth,2,ISCED 3/4,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,36341,,
AFRI,Africa,1,Foreign-born,99,Unknown education,3_10,25-64 years,2,Women,AUS,Australia,5671,,
AFRI,Africa,1,Foreign-born,99,Unknown education,3_10,25-64 years,1,Men,AUS,Australia,4371,,
AFRI,Africa,1,Foreign-born,99,Unknown education,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,10042,,
AFRI,Africa,ALL_FBORN,All places of birth,99,Unknown education,3_10,25-64 years,2,Women,AUS,Australia,5671,,
AFRI,Africa,ALL_FBORN,All places of birth,99,Unknown education,3_10,25-64 years,1,Men,AUS,Australia,4371,,
AFRI,Africa,ALL_FBORN,All places of birth,99,Unknown education,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,10042,,
AFRI,Africa,1,Foreign-born,1,ISCED 0/1/2,3_10,25-64 years,2,Women,AUS,Australia,15152,,
AFRI,Africa,1,Foreign-born,1,ISCED 0/1/2,3_10,25-64 years,1,Men,AUS,Australia,8332,,
AFRI,Africa,1,Foreign-born,1,ISCED 0/1/2,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,23484,,
AFRI,Africa,ALL_FBORN,All places of birth,1,ISCED 0/1/2,3_10,25-64 years,2,Women,AUS,Australia,15152,,
AFRI,Africa,ALL_FBORN,All places of birth,1,ISCED 0/1/2,3_10,25-64 years,1,Men,AUS,Australia,8332,,
