COUB,Country of birth,FBORN,Place of birth,EDU,Education level,LFS,Labour force status,SEX,Sex,COU,Country of residence,Value,Flag Codes,Flags
AFRI,Africa,1,Foreign-born,2,ISCED 3/4,1,Employed,2,Women,AUS,Australia,11552,,
AFRI,Africa,1,Foreign-born,2,ISCED 3/4,1,Employed,1,Men,AUS,Australia,20175,,
AFRI,Africa,1,Foreign-born,2,ISCED 3/4,1,Employed,ALL_SEX,Men and women,AUS,Australia,31727,,
AFRI,Africa,1,Foreign-born,2,ISCED 3/4,2,Unemployed,2,Women,AUS,Australia,1196,,
AFRI,Africa,1,Foreign-born,2,ISCED 3/4,2,Unemployed,1,Men,AUS,Australia,1965,,
AFRI,Africa,1,Foreign-born,2,ISCED 3/4,2,Unemployed,ALL_SEX,Men and women,AUS,Australia,3161,,
AFRI,Africa,1,Foreign-born,2,ISCED 3/4,3,Inactive,2,Women,AUS,Australia,9279,,
AFRI,Africa,1,Foreign-born,2,ISCED 3/4,3,Inactive,1,Men,AUS,Australia,7585,,
AFRI,Africa,1,Foreign-born,2,ISCED 3/4,3,Inactive,ALL_SEX,Men and women,AUS,Australia,16864,,
AFRI,Africa,1,Foreign-born,2,ISCED 3/4,99,Unknown labour force status,2,Women,AUS,Australia,133,,
AFRI,Africa,1,Foreign-born,2,ISCED 3/4,99,Unknown labour force status,1,Men,AUS,Australia,158,,
AFRI,Africa,1,Foreign-born,2,ISCED 3/4,99,Unknown labour force status,ALL_SEX,Men and women,AUS,Australia,291,,
AFRI,Africa,1,Foreign-born,2,ISCED 3/4,ALL_LFS,All labour force status,2,Women,AUS,Australia,22160,,
AFRI,Africa,1,Foreign-born,2,ISCED 3/4,ALL_LFS,All labour force status,1,Men,AUS,Australia,29883,,
AFRI,Africa,1,Foreign-born,2,ISCED 3/4,ALL_LFS,All labour force status,ALL_SEX,Men and women,AUS,Australia,52043,,
AFRI,Africa,ALL_FBORN,All places of birth,2,ISCED 3/4,1,Employed,2,Women,AUS,Australia,11552,,
AFRI,Africa,ALL_FBORN,All places of birth,2,ISCED 3/4,1,Employed,1,Men,AUS,Australia,20175,,
AFRI,Africa,ALL_FBORN,All places of birth,2,ISCED 3/4,1,Employed,ALL_SEX,Men and women,AUS,Australia,31727,,
AFRI,Africa,ALL_FBORN,All places of birth,2,ISCED 3/4,2,Unemployed,2,Women,AUS,Australia,1196,,
AFRI,Africa,ALL_FBORN,All places of birth,2,ISCED 3/4,2,Unemployed,1,Men,AUS,Australia,1965,,
AFRI,Africa,ALL_FBORN,All places of birth,2,ISCED 3/4,2,Unemployed,ALL_SEX,Men and women,AUS,Australia,3161,,
AFRI,Africa,ALL_FBORN,All places of birth,2,ISCED 3/4,3,Inactive,2,Women,AUS,Australia,9279,,
AFRI,Africa,ALL_FBORN,All places of birth,2,ISCED 3/4,3,Inactive,1,Men,AUS,Australia,7585,,
AFRI,Africa,ALL_FBORN,All places of birth,2,ISCED 3/4,3,Inactive,ALL_SEX,Men and women,AUS,Australia,16864,,
AFRI,Africa,ALL_FBORN,All places of birth,2,ISCED 3/4,99,Unknown labour force status,2,Women,AUS,Australia,133,,
AFRI,Africa,ALL_FBORN,All places of birth,2,ISCED 3/4,99,Unknown labour force status,1,Men,AUS,Australia,158,,
AFRI,Africa,ALL_FBORN,All places of birth,2,ISCED 3/4,99,Unknown labour force status,ALL_SEX,Men and women,AUS,Australia,291,,
AFRI,Africa,ALL_FBORN,All places of birth,2,ISCED 3/4,ALL_LFS,All labour force status,2,Women,AUS,Australia,22160,,
AFRI,Africa,ALL_FBORN,All places of birth,2,ISCED 3/4,ALL_LFS,All labour force status,1,Men,AUS,Australia,29883,,
AFRI,Africa,ALL_FBORN,All places of birth,2,ISCED 3/4,ALL_LFS,All labour force status,ALL_SEX,Men and women,AUS,Australia,52043,,
AFRI,Africa,1,Foreign-born,99,Unknown education,1,Employed,2,Women,AUS,Australia,3408,,
AFRI,Africa,1,Foreign-born,99,Unknown education,1,Employed,1,Men,AUS,Australia,3389,,
AFRI,Africa,1,Foreign-born,99,Unknown education,1,Employed,ALL_SEX,Men and women,AUS,Australia,6797,,
AFRI,Africa,1,Foreign-born,99,Unknown education,2,Unemployed,2,Women,AUS,Australia,347,,
AFRI,Africa,1,Foreign-born,99,Unknown education,2,Unemployed,1,Men,AUS,Australia,370,,
AFRI,Africa,1,Foreign-born,99,Unknown education,2,Unemployed,ALL_SEX,Men and women,AUS,Australia,717,,
AFRI,Africa,1,Foreign-born,99,Unknown education,3,Inactive,2,Women,AUS,Australia,4156,,
AFRI,Africa,1,Foreign-born,99,Unknown education,3,Inactive,1,Men,AUS,Australia,2479,,
AFRI,Africa,1,Foreign-born,99,Unknown education,3,Inactive,ALL_SEX,Men and women,AUS,Australia,6635,,
AFRI,Africa,1,Foreign-born,99,Unknown education,99,Unknown labour force status,2,Women,AUS,Australia,852,,
AFRI,Africa,1,Foreign-born,99,Unknown education,99,Unknown labour force status,1,Men,AUS,Australia,531,,
AFRI,Africa,1,Foreign-born,99,Unknown education,99,Unknown labour force status,ALL_SEX,Men and women,AUS,Australia,1383,,
AFRI,Africa,1,Foreign-born,99,Unknown education,ALL_LFS,All labour force status,2,Women,AUS,Australia,8763,,
AFRI,Africa,1,Foreign-born,99,Unknown education,ALL_LFS,All labour force status,1,Men,AUS,Australia,6769,,
AFRI,Africa,1,Foreign-born,99,Unknown education,ALL_LFS,All labour force status,ALL_SEX,Men and women,AUS,Australia,15532,,
AFRI,Africa,ALL_FBORN,All places of birth,99,Unknown education,1,Employed,2,Women,AUS,Australia,3408,,
AFRI,Africa,ALL_FBORN,All places of birth,99,Unknown education,1,Employed,1,Men,AUS,Australia,3389,,
AFRI,Africa,ALL_FBORN,All places of birth,99,Unknown education,1,Employed,ALL_SEX,Men and women,AUS,Australia,6797,,
AFRI,Africa,ALL_FBORN,All places of birth,99,Unknown education,2,Unemployed,2,Women,AUS,Australia,347,,
AFRI,Africa,ALL_FBORN,All places of birth,99,Unknown education,2,Unemployed,1,Men,AUS,Australia,370,,
AFRI,Africa,ALL_FBORN,All places of birth,99,Unknown education,2,Unemployed,ALL_SEX,Men and women,AUS,Australia,717,,
AFRI,Africa,ALL_FBORN,All places of birth,99,Unknown education,3,Inactive,2,Women,AUS,Australia,4156,,
AFRI,Africa,ALL_FBORN,All places of birth,99,Unknown education,3,Inactive,1,Men,AUS,Australia,2479,,
AFRI,Africa,ALL_FBORN,All places of birth,99,Unknown education,3,Inactive,ALL_SEX,Men and women,AUS,Australia,6635,,
AFRI,Africa,ALL_FBORN,All places of birth,99,Unknown education,99,Unknown labour force status,2,Women,AUS,Australia,852,,
AFRI,Africa,ALL_FBORN,All places of birth,99,Unknown education,99,Unknown labour force status,1,Men,AUS,Australia,531,,
AFRI,Africa,ALL_FBORN,All places of birth,99,Unknown education,99,Unknown labour force status,ALL_SEX,Men and women,AUS,Australia,1383,,
AFRI,Africa,ALL_FBORN,All places of birth,99,Unknown education,ALL_LFS,All labour force status,2,Women,AUS,Australia,8763,,
AFRI,Africa,ALL_FBORN,All places of birth,99,Unknown education,ALL_LFS,All labour force status,1,Men,AUS,Australia,6769,,
AFRI,Africa,ALL_FBORN,All places of birth,99,Unknown education,ALL_LFS,All labour force status,ALL_SEX,Men and women,AUS,Australia,15532,,
AFRI,Africa,1,Foreign-born,1,ISCED 0/1/2,1,Employed,2,Women,AUS,Australia,8516,,
AFRI,Africa,1,Foreign-born,1,ISCED 0/1/2,1,Employed,1,Men,AUS,Australia,6855,,
AFRI,Africa,1,Foreign-born,1,ISCED 0/1/2,1,Employed,ALL_SEX,Men and women,AUS,Australia,15371,,
AFRI,Africa,1,Foreign-born,1,ISCED 0/1/2,2,Unemployed,2,Women,AUS,Australia,948,,
AFRI,Africa,1,Foreign-born,1,ISCED 0/1/2,2,Unemployed,1,Men,AUS,Australia,1133,,
AFRI,Africa,1,Foreign-born,1,ISCED 0/1/2,2,Unemployed,ALL_SEX,Men and women,AUS,Australia,2081,,
AFRI,Africa,1,Foreign-born,1,ISCED 0/1/2,3,Inactive,2,Women,AUS,Australia,14662,,
AFRI,Africa,1,Foreign-born,1,ISCED 0/1/2,3,Inactive,1,Men,AUS,Australia,6788,,
AFRI,Africa,1,Foreign-born,1,ISCED 0/1/2,3,Inactive,ALL_SEX,Men and women,AUS,Australia,21450,,
AFRI,Africa,1,Foreign-born,1,ISCED 0/1/2,99,Unknown labour force status,2,Women,AUS,Australia,226,,
AFRI,Africa,1,Foreign-born,1,ISCED 0/1/2,99,Unknown labour force status,1,Men,AUS,Australia,116,,
