municipio_codigo;municipio_nombre;sexo;nacionalidad;poblacion_empadronada
001;Acebeda (La);Hombre;Africa;0
001;Acebeda (La);Hombre;América Central y del Caribe;0
001;Acebeda (La);Hombre;América del Norte;0
001;Acebeda (La);Hombre;América del Sur;0
001;Acebeda (La);Hombre;Apátridas;0
001;Acebeda (La);Hombre;Asia;0
001;Acebeda (La);Hombre;Oceanía;0
001;Acebeda (La);Hombre;Otros países de América;0
001;Acebeda (La);Hombre;Resto de Europa;0
001;Acebeda (La);Hombre;Unión Europea;37
001;Acebeda (La);Mujer;Africa;0
001;Acebeda (La);Mujer;América Central y del Caribe;0
001;Acebeda (La);Mujer;América del Norte;0
001;Acebeda (La);Mujer;América del Sur;0
001;Acebeda (La);Mujer;Apátridas;0
001;Acebeda (La);Mujer;Asia;0
001;Acebeda (La);Mujer;Oceanía;0
001;Acebeda (La);Mujer;Otros países de América;0
001;Acebeda (La);Mujer;Resto de Europa;0
001;Acebeda (La);Mujer;Unión Europea;29
002;Ajalvir;Hombre;Africa;36
002;Ajalvir;Hombre;América Central y del Caribe;19
002;Ajalvir;Hombre;América del Norte;14
002;Ajalvir;Hombre;América del Sur;45
002;Ajalvir;Hombre;Apátridas;0
002;Ajalvir;Hombre;Asia;7
002;Ajalvir;Hombre;Oceanía;0
002;Ajalvir;Hombre;Otros países de América;0
002;Ajalvir;Hombre;Resto de Europa;3
002;Ajalvir;Hombre;Unión Europea;2203
002;Ajalvir;Mujer;Africa;30
002;Ajalvir;Mujer;América Central y del Caribe;17
002;Ajalvir;Mujer;América del Norte;12
002;Ajalvir;Mujer;América del Sur;38
002;Ajalvir;Mujer;Apátridas;0
002;Ajalvir;Mujer;Asia;14
002;Ajalvir;Mujer;Oceanía;0
002;Ajalvir;Mujer;Otros países de América;0
002;Ajalvir;Mujer;Resto de Europa;7
002;Ajalvir;Mujer;Unión Europea;2010
003;Alameda del Valle;Hombre;Africa;0
003;Alameda del Valle;Hombre;América Central y del Caribe;0
003;Alameda del Valle;Hombre;América del Norte;0
003;Alameda del Valle;Hombre;América del Sur;0
003;Alameda del Valle;Hombre;Apátridas;0
003;Alameda del Valle;Hombre;Asia;0
003;Alameda del Valle;Hombre;Oceanía;0
003;Alameda del Valle;Hombre;Otros países de América;0
003;Alameda del Valle;Hombre;Resto de Europa;0
003;Alameda del Valle;Hombre;Unión Europea;117
003;Alameda del Valle;Mujer;Africa;0
003;Alameda del Valle;Mujer;América Central y del Caribe;0
003;Alameda del Valle;Mujer;América del Norte;1
003;Alameda del Valle;Mujer;América del Sur;0
003;Alameda del Valle;Mujer;Apátridas;0
003;Alameda del Valle;Mujer;Asia;0
003;Alameda del Valle;Mujer;Oceanía;0
003;Alameda del Valle;Mujer;Otros países de América;0
003;Alameda del Valle;Mujer;Resto de Europa;0
003;Alameda del Valle;Mujer;Unión Europea;81
004;Alamo (El);Hombre;Africa;276
004;Alamo (El);Hombre;América Central y del Caribe;25
004;Alamo (El);Hombre;América del Norte;1
004;Alamo (El);Hombre;América del Sur;75
004;Alamo (El);Hombre;Apátridas;0
004;Alamo (El);Hombre;Asia;27
004;Alamo (El);Hombre;Oceanía;0
004;Alamo (El);Hombre;Otros países de América;0
004;Alamo (El);Hombre;Resto de Europa;12
004;Alamo (El);Hombre;Unión Europea;4137
004;Alamo (El);Mujer;Africa;228
004;Alamo (El);Mujer;América Central y del Caribe;42
004;Alamo (El);Mujer;América del Norte;3
004;Alamo (El);Mujer;América del Sur;88
004;Alamo (El);Mujer;Apátridas;0
004;Alamo (El);Mujer;Asia;24
004;Alamo (El);Mujer;Oceanía;0
004;Alamo (El);Mujer;Otros países de América;0
004;Alamo (El);Mujer;Resto de Europa;8
004;Alamo (El);Mujer;Unión Europea;4203
005;Alcalá de Henares;Hombre;Africa;1886
005;Alcalá de Henares;Hombre;América Central y del Caribe;387
005;Alcalá de Henares;Hombre;América del Norte;156
005;Alcalá de Henares;Hombre;América del Sur;1290
005;Alcalá de Henares;Hombre;Apátridas;2
005;Alcalá de Henares;Hombre;Asia;993
005;Alcalá de Henares;Hombre;Oceanía;6
005;Alcalá de Henares;Hombre;Otros países de América;0
005;Alcalá de Henares;Hombre;Resto de Europa;845
005;Alcalá de Henares;Hombre;Unión Europea;89312
005;Alcalá de Henares;Mujer;Africa;1367
005;Alcalá de Henares;Mujer;América Central y del Caribe;570
005;Alcalá de Henares;Mujer;América del Norte;174
005;Alcalá de Henares;Mujer;América del Sur;1563
005;Alcalá de Henares;Mujer;Apátridas;0
005;Alcalá de Henares;Mujer;Asia;1179
005;Alcalá de Henares;Mujer;Oceanía;3
005;Alcalá de Henares;Mujer;Otros países de América;0
005;Alcalá de Henares;Mujer;Resto de Europa;1059
005;Alcalá de Henares;Mujer;Unión Europea;93518
006;Alcobendas;Hombre;Africa;885
006;Alcobendas;Hombre;América Central y del Caribe;660
006;Alcobendas;Hombre;América del Norte;195
006;Alcobendas;Hombre;América del Sur;1855
006;Alcobendas;Hombre;Apátridas;27
006;Alcobendas;Hombre;Asia;728
006;Alcobendas;Hombre;Oceanía;3
006;Alcobendas;Hombre;Otros países de América;0
006;Alcobendas;Hombre;Resto de Europa;347
006;Alcobendas;Hombre;Unión Europea;50506
006;Alcobendas;Mujer;Africa;731
006;Alcobendas;Mujer;América Central y del Caribe;1050
006;Alcobendas;Mujer;América del Norte;205
006;Alcobendas;Mujer;América del Sur;2545
006;Alcobendas;Mujer;Apátridas;13
006;Alcobendas;Mujer;Asia;763
006;Alcobendas;Mujer;Oceanía;5
006;Alcobendas;Mujer;Otros países de América;0
006;Alcobendas;Mujer;Resto de Europa;586
006;Alcobendas;Mujer;Unión Europea;53760
007;Alcorcón;Hombre;Africa;1818
007;Alcorcón;Hombre;América Central y del Caribe;413
007;Alcorcón;Hombre;América del Norte;45
007;Alcorcón;Hombre;América del Sur;1574
007;Alcorcón;Hombre;Apátridas;0
007;Alcorcón;Hombre;Asia;731
007;Alcorcón;Hombre;Oceanía;1
007;Alcorcón;Hombre;Otros países de América;0
007;Alcorcón;Hombre;Resto de Europa;961
007;Alcorcón;Hombre;Unión Europea;75692
007;Alcorcón;Mujer;Africa;1393
007;Alcorcón;Mujer;América Central y del Caribe;645
007;Alcorcón;Mujer;América del Norte;63
007;Alcorcón;Mujer;América del Sur;1908
007;Alcorcón;Mujer;Apátridas;0
007;Alcorcón;Mujer;Asia;624
007;Alcorcón;Mujer;Oceanía;1
007;Alcorcón;Mujer;Otros países de América;0
007;Alcorcón;Mujer;Resto de Europa;1156
007;Alcorcón;Mujer;Unión Europea;81116
008;Aldea del Fresno;Hombre;Africa;141
008;Aldea del Fresno;Hombre;América Central y del Caribe;5
008;Aldea del Fresno;Hombre;América del Norte;3
008;Aldea del Fresno;Hombre;América del Sur;15
008;Aldea del Fresno;Hombre;Apátridas;0
008;Aldea del Fresno;Hombre;Asia;4
008;Aldea del Fresno;Hombre;Oceanía;0
008;Aldea del Fresno;Hombre;Otros países de América;0
008;Aldea del Fresno;Hombre;Resto de Europa;8
008;Aldea del Fresno;Hombre;Unión Europea;1201
008;Aldea del Fresno;Mujer;Africa;121
008;Aldea del Fresno;Mujer;América Central y del Caribe;3
008;Aldea del Fresno;Mujer;América del Norte;1
008;Aldea del Fresno;Mujer;América del Sur;10
008;Aldea del Fresno;Mujer;Apátridas;0
008;Aldea del Fresno;Mujer;Asia;3
008;Aldea del Fresno;Mujer;Oceanía;0
008;Aldea del Fresno;Mujer;Otros países de América;0
008;Aldea del Fresno;Mujer;Resto de Europa;10
008;Aldea del Fresno;Mujer;Unión Europea;1091
009;Algete;Hombre;Africa;129
009;Algete;Hombre;América Central y del Caribe;42
009;Algete;Hombre;América del Norte;8
009;Algete;Hombre;América del Sur;200
009;Algete;Hombre;Apátridas;0
009;Algete;Hombre;Asia;163
009;Algete;Hombre;Oceanía;0
009;Algete;Hombre;Otros países de América;0
009;Algete;Hombre;Resto de Europa;30
009;Algete;Hombre;Unión Europea;9550
009;Algete;Mujer;Africa;101
009;Algete;Mujer;América Central y del Caribe;65
009;Algete;Mujer;América del Norte;28
009;Algete;Mujer;América del Sur;244
009;Algete;Mujer;Apátridas;0
009;Algete;Mujer;Asia;69
009;Algete;Mujer;Oceanía;1
009;Algete;Mujer;Otros países de América;0
009;Algete;Mujer;Resto de Europa;50
009;Algete;Mujer;Unión Europea;9739
010;Alpedrete;Hombre;Africa;76
010;Alpedrete;Hombre;América Central y del Caribe;26
010;Alpedrete;Hombre;América del Norte;14
010;Alpedrete;Hombre;América del Sur;84
010;Alpedrete;Hombre;Apátridas;0
010;Alpedrete;Hombre;Asia;23
010;Alpedrete;Hombre;Oceanía;0
010;Alpedrete;Hombre;Otros países de América;0
010;Alpedrete;Hombre;Resto de Europa;9
010;Alpedrete;Hombre;Unión Europea;6748
010;Alpedrete;Mujer;Africa;53
010;Alpedrete;Mujer;América Central y del Caribe;43
010;Alpedrete;Mujer;América del Norte;23
010;Alpedrete;Mujer;América del Sur;124
010;Alpedrete;Mujer;Apátridas;0
010;Alpedrete;Mujer;Asia;20
010;Alpedrete;Mujer;Oceanía;0
010;Alpedrete;Mujer;Otros países de América;0
010;Alpedrete;Mujer;Resto de Europa;23
010;Alpedrete;Mujer;Unión Europea;6974
011;Ambite;Hombre;Africa;21
011;Ambite;Hombre;América Central y del Caribe;0
011;Ambite;Hombre;América del Norte;0
011;Ambite;Hombre;América del Sur;3
011;Ambite;Hombre;Apátridas;0
011;Ambite;Hombre;Asia;23
011;Ambite;Hombre;Oceanía;0
011;Ambite;Hombre;Otros países de América;0
011;Ambite;Hombre;Resto de Europa;22
011;Ambite;Hombre;Unión Europea;283
011;Ambite;Mujer;Africa;0
011;Ambite;Mujer;América Central y del Caribe;2
011;Ambite;Mujer;América del Norte;0
011;Ambite;Mujer;América del Sur;2
011;Ambite;Mujer;Apátridas;0
011;Ambite;Mujer;Asia;19
011;Ambite;Mujer;Oceanía;0
011;Ambite;Mujer;Otros países de América;0
011;Ambite;Mujer;Resto de Europa;21
011;Ambite;Mujer;Unión Europea;281
012;Anchuelo;Hombre;Africa;1
012;Anchuelo;Hombre;América Central y del Caribe;3
012;Anchuelo;Hombre;América del Norte;0
012;Anchuelo;Hombre;América del Sur;10
012;Anchuelo;Hombre;Apátridas;0
012;Anchuelo;Hombre;Asia;1
012;Anchuelo;Hombre;Oceanía;0
012;Anchuelo;Hombre;Otros países de América;0
012;Anchuelo;Hombre;Resto de Europa;3
012;Anchuelo;Hombre;Unión Europea;629
012;Anchuelo;Mujer;Africa;1
012;Anchuelo;Mujer;América Central y del Caribe;6
012;Anchuelo;Mujer;América del Norte;0
012;Anchuelo;Mujer;América del Sur;14
012;Anchuelo;Mujer;Apátridas;0
012;Anchuelo;Mujer;Asia;4
012;Anchuelo;Mujer;Oceanía;0
012;Anchuelo;Mujer;Otros países de América;0
012;Anchuelo;Mujer;Resto de Europa;7
012;Anchuelo;Mujer;Unión Europea;559
013;Aranjuez;Hombre;Africa;893
013;Aranjuez;Hombre;América Central y del Caribe;72
013;Aranjuez;Hombre;América del Norte;30
013;Aranjuez;Hombre;América del Sur;563
013;Aranjuez;Hombre;Apátridas;6
013;Aranjuez;Hombre;Asia;165
013;Aranjuez;Hombre;Oceanía;2
013;Aranjuez;Hombre;Otros países de América;0
013;Aranjuez;Hombre;Resto de Europa;45
013;Aranjuez;Hombre;Unión Europea;26611
013;Aranjuez;Mujer;Africa;765
013;Aranjuez;Mujer;América Central y del Caribe;108
013;Aranjuez;Mujer;América del Norte;34
013;Aranjuez;Mujer;América del Sur;689
013;Aranjuez;Mujer;Apátridas;0
013;Aranjuez;Mujer;Asia;171
013;Aranjuez;Mujer;Oceanía;0
013;Aranjuez;Mujer;Otros países de América;0
013;Aranjuez;Mujer;Resto de Europa;81
013;Aranjuez;Mujer;Unión Europea;27978
014;Arganda del Rey;Hombre;Africa;240
014;Arganda del Rey;Hombre;América Central y del Caribe;56
014;Arganda del Rey;Hombre;América del Norte;20
014;Arganda del Rey;Hombre;América del Sur;300
014;Arganda del Rey;Hombre;Apátridas;0
014;Arganda del Rey;Hombre;Asia;507
014;Arganda del Rey;Hombre;Oceanía;2
014;Arganda del Rey;Hombre;Otros países de América;0
014;Arganda del Rey;Hombre;Resto de Europa;79
014;Arganda del Rey;Hombre;Unión Europea;25802
014;Arganda del Rey;Mujer;Africa;212
014;Arganda del Rey;Mujer;América Central y del Caribe;90
014;Arganda del Rey;Mujer;América del Norte;17
014;Arganda del Rey;Mujer;América del Sur;363
014;Arganda del Rey;Mujer;Apátridas;0
014;Arganda del Rey;Mujer;Asia;281
014;Arganda del Rey;Mujer;Oceanía;2
014;Arganda del Rey;Mujer;Otros países de América;0
014;Arganda del Rey;Mujer;Resto de Europa;104
014;Arganda del Rey;Mujer;Unión Europea;25746
015;Arroyomolinos;Hombre;Africa;141
015;Arroyomolinos;Hombre;América Central y del Caribe;23
015;Arroyomolinos;Hombre;América del Norte;13
015;Arroyomolinos;Hombre;América del Sur;132
015;Arroyomolinos;Hombre;Apátridas;0
015;Arroyomolinos;Hombre;Asia;121
015;Arroyomolinos;Hombre;Oceanía;1
015;Arroyomolinos;Hombre;Otros países de América;0
015;Arroyomolinos;Hombre;Resto de Europa;16
015;Arroyomolinos;Hombre;Unión Europea;14177
015;Arroyomolinos;Mujer;Africa;152
015;Arroyomolinos;Mujer;América Central y del Caribe;45
015;Arroyomolinos;Mujer;América del Norte;20
015;Arroyomolinos;Mujer;América del Sur;224
015;Arroyomolinos;Mujer;Apátridas;0
015;Arroyomolinos;Mujer;Asia;120
015;Arroyomolinos;Mujer;Oceanía;0
015;Arroyomolinos;Mujer;Otros países de América;0
015;Arroyomolinos;Mujer;Resto de Europa;38
015;Arroyomolinos;Mujer;Unión Europea;13905
016;Atazar (El);Hombre;Africa;3
016;Atazar (El);Hombre;América Central y del Caribe;0
016;Atazar (El);Hombre;América del Norte;0
016;Atazar (El);Hombre;América del Sur;0
016;Atazar (El);Hombre;Apátridas;0
016;Atazar (El);Hombre;Asia;0
016;Atazar (El);Hombre;Oceanía;0
016;Atazar (El);Hombre;Otros países de América;0
016;Atazar (El);Hombre;Resto de Europa;0
016;Atazar (El);Hombre;Unión Europea;53
016;Atazar (El);Mujer;Africa;1
016;Atazar (El);Mujer;América Central y del Caribe;0
016;Atazar (El);Mujer;América del Norte;0
016;Atazar (El);Mujer;América del Sur;0
016;Atazar (El);Mujer;Apátridas;0
016;Atazar (El);Mujer;Asia;0
016;Atazar (El);Mujer;Oceanía;0
016;Atazar (El);Mujer;Otros países de América;0
016;Atazar (El);Mujer;Resto de Europa;0
016;Atazar (El);Mujer;Unión Europea;40
017;Batres;Hombre;Africa;3
017;Batres;Hombre;América Central y del Caribe;0
017;Batres;Hombre;América del Norte;2
017;Batres;Hombre;América del Sur;8
017;Batres;Hombre;Apátridas;0
017;Batres;Hombre;Asia;1
017;Batres;Hombre;Oceanía;0
017;Batres;Hombre;Otros países de América;0
017;Batres;Hombre;Resto de Europa;1
017;Batres;Hombre;Unión Europea;808
017;Batres;Mujer;Africa;3
017;Batres;Mujer;América Central y del Caribe;1
017;Batres;Mujer;América del Norte;1
017;Batres;Mujer;América del Sur;10
017;Batres;Mujer;Apátridas;0
017;Batres;Mujer;Asia;0
017;Batres;Mujer;Oceanía;0
017;Batres;Mujer;Otros países de América;0
017;Batres;Mujer;Resto de Europa;0
017;Batres;Mujer;Unión Europea;772
018;Becerril de la Sierra;Hombre;Africa;149
018;Becerril de la Sierra;Hombre;América Central y del Caribe;6
018;Becerril de la Sierra;Hombre;América del Norte;4
018;Becerril de la Sierra;Hombre;América del Sur;59
018;Becerril de la Sierra;Hombre;Apátridas;0
018;Becerril de la Sierra;Hombre;Asia;7
018;Becerril de la Sierra;Hombre;Oceanía;0
018;Becerril de la Sierra;Hombre;Otros países de América;0
018;Becerril de la Sierra;Hombre;Resto de Europa;0
018;Becerril de la Sierra;Hombre;Unión Europea;2485
018;Becerril de la Sierra;Mujer;Africa;135
018;Becerril de la Sierra;Mujer;América Central y del Caribe;8
018;Becerril de la Sierra;Mujer;América del Norte;1
018;Becerril de la Sierra;Mujer;América del Sur;79
018;Becerril de la Sierra;Mujer;Apátridas;0
018;Becerril de la Sierra;Mujer;Asia;9
