El municipio en cifras
Poblacion
Año;Periodos;Madrid;
1987;Anual;3100507;
1988;Anual;3102846;
1989;Anual;3108463;
1990;Anual;3120733;
1991;Anual;3010492;
1992;Anual;3017439;
1993;Anual;3037977;
1994;Anual;3041101;
1995;Anual;3029734;
1996;Anual;2866850;
1997;Anual;2882971;
1998;Anual;2899091;
1999;Anual;2905136;
2000;Anual;2903903;
2001;Anual;2982926;
2002;Anual;3043535;
2003;Anual;3124892;
2004;Anual;3162304;
2005;Anual;3167424;
2006;Anual;3205334;
2007;Anual;3187062;
2008;Anual;3238208;
2009;Anual;3273006;
2010;Anual;3284110;
2011;Anual;3269861;
2012;Anual;3237937;
2013;Anual;3215633;
2014;Anual;3166130;
2015;Anual;3141991;
2016;Anual;3165883;
2017;Anual;3182175;
2018;Anual;3221824;
2019;Anual;3266126;
2020;Anual;3334730;
2021;Anual;3312310;
2022;Anual;3286662;
