El municipio en cifras
Poblacion de los municipios de la Comunidad de Madrid
Periodo;Anual;2021
Orden;Cod. Territorio;Territorio;Poblacion total
1;28079;Madrid;3.312.310
2;28092;Mostoles;209.639
3;28005;Alcala de Henares;195.982
4;28058;Fuenlabrada;192.233
5;28074;Leganes;187.762
6;28065;Getafe;183.095
7;28007;Alcorcon;170.817
8;28148;Torrejon de Ardoz;132.771
9;28106;Parla;131.689
10;28006;Alcobendas;116.589
11;28127;Rozas de Madrid (Las);94.862
12;28123;Rivas - Vaciamadrid;92.925
13;28134;San Sebastian de los Reyes;90.962
14;28115;Pozuelo de Alarcon;87.134
15;28049;Coslada;81.273
16;28161;Valdemoro;77.587
17;28080;Majadahonda;72.034
18;28047;Collado Villalba;63.825
19;28013;Aranjuez;59.833
20;28022;Boadilla del Monte;59.052
21;28014;Arganda del Rey;56.386
22;28113;Pinto;53.537
23;28045;Colmenar Viejo;52.480
24;28903;Tres Cantos;48.751
25;28130;San Fernando de Henares;39.313
26;28061;Galapagar;34.712
27;28015;Arroyomolinos;33.687
28;28096;Navalcarnero;30.695
29;28181;Villaviciosa de Odon;28.030
30;28104;Paracuellos de Jarama;26.235
31;28040;Ciempozuelos;25.083
32;28152;Torrelodones;24.122
33;28084;Mejorada del Campo;23.737
34;28176;Villanueva de la Cañada;22.580
35;28009;Algete;20.749
36;28132;San Martin de la Vega;19.853
37;28073;Humanes de Madrid;19.736
38;28131;San Lorenzo de El Escorial;18.454
39;28177;Villanueva del Pardillo;17.310
40;28068;Guadarrama;16.747
41;28054;Escorial (El);16.594
42;28172;Villalbilla;15.049
43;28010;Alpedrete;14.959
44;28083;Meco;14.903
45;28090;Moralzarzal;13.573
46;28129;San Agustin del Guadalix;13.538
47;28160;Valdemorillo;13.245
48;28167;Velilla de San Antonio;12.543
49;28026;Brunete;10.726
50;28053;Daganzo de Arriba;10.520
51;28066;Griñon;10.467
52;28004;Alamo (El);9.908
53;28149;Torrejon de la Calzada;9.549
54;28044;Colmenarejo;9.376
55;28141;Sevilla la Nueva;9.345
56;28086;Molar (El);9.291
57;28082;Manzanares el Real;9.202
58;28144;Soto del Real;9.091
59;28075;Loeches;8.860
60;28133;San Martin de Valdeiglesias;8.760
61;28072;Hoyo de Manzanares;8.680
62;28043;Colmenar de Oreja;8.303
63;28023;Boalo (El);8.009
64;28091;Morata de Tajuña;7.924
65;28154;Torres de la Alameda;7.729
66;28032;Camarma de Esteruelas;7.555
67;28180;Villarejo de Salvanes;7.552
68;28041;Cobeña;7.444
69;28038;Cercedilla;7.359
70;28046;Collado Mediano;7.348
71;28059;Fuente el Saz de Jarama;6.883
72;28171;Villa del Prado;6.837
73;28050;Cubas de la Sagra;6.642
74;28100;Nuevo Baztan;6.630
75;28067;Guadalix de la Sierra;6.594
76;28085;Miraflores de la Sierra;6.585
77;28033;Campo Real;6.416
78;28108;Pedrezuela;6.226
79;28018;Becerril de la Sierra;6.108
80;28052;Chinchon;5.506
81;28089;Moraleja de Enmedio;5.294
82;28151;Torrelaguna;4.897
83;28164;Valdetorres de Jarama;4.696
84;28002;Ajalvir;4.676
85;28150;Torrejon de Velasco;4.594
86;28087;Molinos (Los);4.563
87;28125;Robledo de Chavela;4.479
88;28140;Serranillos del Valle;4.429
89;28162;Valdeolmos - Alalpardo;4.309
90;28145;Talamanca de Jarama;4.123
91;28036;Casarrubuelos;3.939
92;28119;Quijorna;3.593
93;28170;Villaconejos;3.464
94;28093;Navacerrada;3.220
95;28031;Cadalso de los Vidrios;3.203
96;28008;Aldea del Fresno;3.085
97;28165;Valdilecha;3.079
98;28099;Navas del Rey;3.062
99;28110;Perales de Tajuña;3.059
100;28109;Pelayos de la Presa;2.827
101;28030;Cabrera (La);2.782
102;28146;Tielmes;2.781
103;28137;Santos de la Humosa (Los);2.729
104;28095;Navalagamella;2.720
105;28028;Bustarviejo;2.701
106;28174;Villamanta;2.643
107;28051;Chapineria;2.494
108;28057;Fresno de Torote;2.416
109;28169;Venturada;2.387
110;28060;Fuentidueña de Tajo;2.228
111;28179;Villar del Olmo;2.211
112;28035;Carabaña;2.142
113;28168;Vellon (El);2.083
114;28037;Cenicientos;2.083
115;28027;Buitrago del Lozoya;1.940
116;28042;Colmenar del Arroyo;1.875
117;28017;Batres;1.820
118;28183;Zarzalejo;1.786
119;28120;Rascafria;1.754
120;28019;Belmonte de Tajo;1.751
121;28056;Fresnedillas de la Oliva;1.742
122;28156;Valdeavero;1.670
123;28178;Villanueva de Perales;1.599
124;28094;Navalafuente;1.573
125;28175;Villamantilla;1.514
126;28135;Santa Maria de la Alameda;1.436
127;28901;Lozoyuela - Navas - Sieteiglesias;1.407
128;28055;Estremera;1.381
129;28147;Titulcia;1.360
130;28012;Anchuelo;1.359
131;28102;Orusco de Tajuña;1.291
132;28116;Pozuelo del Rey;1.190
133;28153;Torremocha de Jarama;1.079
134;28157;Valdelaguna;1.026
135;28158;Valdemanco;1.012
136;28111;Pezuela de las Torres;927
137;28136;Santorcaz;925
138;28122;Ribatejada;863
139;28029;Cabanillas de la Sierra;837
140;28021;Berrueco (El);796
141;28159;Valdemaqueda;789
142;28173;Villamanrique de Tajo;762
143;28048;Corpa;742
144;28902;Puentes Viejas;719
145;28011;Ambite;662
146;28163;Valdepielagos;612
147;28155;Valdaracete;612
148;28076;Lozoya;593
149;28128;Rozas de Puerto Real;590
150;28107;Patones;524
151;28025;Brea de Tajo;523
152;28166;Valverde de Alcala;518
153;28034;Canencia;461
154;28062;Garganta de los Montes;411
155;28088;Montejo de la Sierra;365
156;28101;Olmeda de las Fuentes;357
157;28063;Gargantilla del Lozoya y Pinilla de Buitrago;344
158;28121;Redueña;294
159;28182;Villavieja del Lozoya;276
160;28003;Alameda del Valle;246
161;28024;Braojos;218
162;28020;Berzosa del Lozoya;216
163;28112;Pinilla del Valle;196
164;28064;Gascones;191
165;28114;Piñuecar - Gandullas;185
166;28070;Horcajo de la Sierra;170
167;28039;Cervera de Buitrago;158
168;28117;Pradena del Rincon;149
169;28097;Navarredonda y San Mames;141
170;28016;Atazar (El);109
171;28071;Horcajuelo de la Sierra;106
172;28124;Robledillo de la Jara;97
173;28138;Serna del Monte (La);96
174;28143;Somosierra;87
175;28118;Puebla de la Sierra;75
176;28069;Hiruela (La);72
177;28126;Robregordo;71
178;28078;Madarcos;57
179;28001;Acebeda (La);55
