El municipio en cifras
Estructura de la poblacion
Periodo;Anual;2022
Madrid
Orden;Grupo;Hombres;Mujeres;Total
1; > 84;42.199;92.599;134.798
2; 80 - 84;37.062;61.495;98.557
3; 75 - 79;51.894;77.998;129.892
4; 70 - 74;59.757;83.416;143.173
5; 65 - 69;69.346;90.833;160.179
6; 60 - 64;92.336;111.560;203.896
7; 55 - 59;110.209;128.150;238.359
8; 50 - 54;118.695;130.589;249.284
9; 45 - 49;128.253;136.785;265.038
10; 40 - 44;123.569;129.525;253.094
11; 35 - 39;113.400;118.851;232.251
12; 30 - 34;111.349;116.956;228.305
13; 25 - 29;103.508;111.035;214.543
14; 20 - 24;84.271;85.697;169.968
15; 15 - 19;75.753;73.159;148.912
16; 10 - 14;76.160;72.381;148.541
17; 5 - 9;71.866;68.803;140.669
18; 0 - 4;65.197;62.006;127.203
