El municipio en cifras
Distribucion de la edad media segun el tamaño de los municipios de la comunidad
Periodo;Anual;2017
Orden;Cod. Territorio;Territorio;Edad media;Poblacion total
1;28001;Acebeda (La);59,68;66
2;28002;Ajalvir;37,88;4455
3;28003;Alameda del Valle;49,56;199
4;28004;Alamo (El);40,6;9149
5;28005;Alcala de Henares;41,26;194310
6;28006;Alcobendas;39,68;114864
7;28007;Alcorcon;42,79;168141
8;28008;Aldea del Fresno;41,68;2616
9;28009;Algete;38,03;20419
10;28010;Alpedrete;38,62;14240
11;28011;Ambite;41,89;677
12;28012;Anchuelo;38,28;1238
13;28013;Aranjuez;39,99;58213
14;28014;Arganda del Rey;37,69;53821
15;28015;Arroyomolinos;31,99;29128
16;28016;Atazar (El);48,92;97
17;28017;Batres;41,2;1610
18;28018;Becerril de la Sierra;40,15;5457
19;28019;Belmonte de Tajo;41,58;1628
20;28021;Berrueco (El);45,98;743
21;28020;Berzosa del Lozoya;43,63;203
22;28022;Boadilla del Monte;36,37;51463
23;28023;Boalo (El);37,82;7358
24;28024;Braojos;41,14;208
25;28025;Brea de Tajo;45,6;539
26;28026;Brunete;37,68;10373
27;28027;Buitrago del Lozoya;42,57;1854
28;28028;Bustarviejo;41,61;2399
29;28029;Cabanillas de la Sierra;42,45;712
30;28030;Cabrera (La);41,43;2570
31;28031;Cadalso de los Vidrios;43,42;3053
32;28032;Camarma de Esteruelas;36,67;7084
33;28033;Campo Real;38,38;5995
34;28034;Canencia;50,36;448
35;28035;Carabaña;41,48;1940
36;28036;Casarrubuelos;35,8;3650
37;28037;Cenicientos;47,01;1984
38;28038;Cercedilla;41,9;6853
39;28039;Cervera de Buitrago;49,76;156
40;28051;Chapineria;41,2;2225
41;28052;Chinchon;42,61;5240
42;28040;Ciempozuelos;39,15;23737
43;28041;Cobeña;35,68;7163
44;28046;Collado Mediano;39,76;6666
45;28047;Collado Villalba;39,24;62152
46;28043;Colmenar de Oreja;41,72;7810
47;28042;Colmenar del Arroyo;43,09;1632
48;28045;Colmenar Viejo;38,76;48614
49;28044;Colmenarejo;37,47;9015
50;28048;Corpa;39,26;684
51;28049;Coslada;42,13;83011
52;28050;Cubas de la Sagra;36,4;6112
53;28053;Daganzo de Arriba;34,65;10082
54;28054;Escorial (El);41,72;15562
55;28055;Estremera;45,76;1261
56;28056;Fresnedillas de la Oliva;37,66;1550
57;28057;Fresno de Torote;38,14;2115
58;28058;Fuenlabrada;38,9;194669
59;28059;Fuente el Saz de Jarama;39,09;6424
60;28060;Fuentidueña de Tajo;42,51;1980
61;28061;Galapagar;38,71;32903
62;28062;Garganta de los Montes;47,31;331
63;28063;Gargantilla del Lozoya y Pinilla de Buitrago;47,29;315
64;28064;Gascones;42;176
65;28065;Getafe;41,39;178288
66;28066;Griñon;39,18;10060
67;28067;Guadalix de la Sierra;39,16;6049
68;28068;Guadarrama;40,98;15620
69;28069;Hiruela (La);56,33;52
70;28070;Horcajo de la Sierra;46,32;142
71;28071;Horcajuelo de la Sierra;48,19;88
72;28072;Hoyo de Manzanares;39,95;8032
73;28073;Humanes de Madrid;34,49;19607
74;28074;Leganes;42,67;187720
75;28075;Loeches;35,34;8525
76;28076;Lozoya;47,81;559
77;28901;Lozoyuela - Navas - Sieteiglesias;42,82;1237
78;28078;Madarcos;48,13;46
79;28079;Madrid;43,49;3182175
80;28080;Majadahonda;39,08;71299
81;28082;Manzanares el Real;38,45;8500
82;28083;Meco;35,8;13570
83;28084;Mejorada del Campo;38,06;22948
84;28085;Miraflores de la Sierra;40,55;5817
85;28086;Molar (El);37,72;8491
86;28087;Molinos (Los);42,4;4345
87;28088;Montejo de la Sierra;48,65;356
88;28089;Moraleja de Enmedio;38,66;4870
89;28090;Moralzarzal;38,54;12496
90;28091;Morata de Tajuña;41,29;7482
91;28092;Mostoles;41,76;206589
92;28093;Navacerrada;43,16;2894
93;28094;Navalafuente;38,84;1340
94;28095;Navalagamella;39,14;2443
95;28096;Navalcarnero;36,65;27570
96;28097;Navarredonda y San Mames;52,83;131
97;28099;Navas del Rey;40,75;2751
98;28100;Nuevo Baztan;39,54;6091
99;28101;Olmeda de las Fuentes;42,21;332
100;28102;Orusco de Tajuña;45,67;1218
101;28104;Paracuellos de Jarama;33,34;23905
102;28106;Parla;36,26;125898
103;28107;Patones;51,02;553
104;28108;Pedrezuela;36,55;5613
105;28109;Pelayos de la Presa;42,82;2468
106;28110;Perales de Tajuña;41,08;2817
107;28111;Pezuela de las Torres;42,64;816
108;28112;Pinilla del Valle;49,28;185
109;28113;Pinto;37,72;50442
110;28114;Piñuecar - Gandullas;46,8;183
111;28115;Pozuelo de Alarcon;39,97;85605
112;28116;Pozuelo del Rey;35,89;1099
113;28117;Pradena del Rincon;44,38;132
114;28118;Puebla de la Sierra;51,34;61
115;28902;Puentes Viejas;44,97;632
116;28119;Quijorna;37,08;3282
117;28120;Rascafria;46,63;1672
118;28121;Redueña;43,2;248
119;28122;Ribatejada;43,48;702
120;28123;Rivas - Vaciamadrid;35,59;83767
121;28124;Robledillo de la Jara;52;87
122;28125;Robledo de Chavela;43,14;4073
123;28126;Robregordo;58,02;44
124;28127;Rozas de Madrid (Las);37,77;95071
125;28128;Rozas de Puerto Real;49,64;534
126;28129;San Agustin del Guadalix;35,71;13103
127;28130;San Fernando de Henares;40,06;39681
128;28131;San Lorenzo de El Escorial;41,05;18024
129;28132;San Martin de la Vega;36,17;18824
130;28133;San Martin de Valdeiglesias;42,87;8298
131;28134;San Sebastian de los Reyes;38,72;86707
132;28135;Santa Maria de la Alameda;45,46;1163
133;28136;Santorcaz;42,29;856
134;28137;Santos de la Humosa (Los);35,91;2486
135;28138;Serna del Monte (La);47,86;73
136;28140;Serranillos del Valle;38,43;3967
137;28141;Sevilla la Nueva;36,71;9093
138;28143;Somosierra;48,92;77
139;28144;Soto del Real;40,83;8607
140;28145;Talamanca de Jarama;37,98;3573
141;28146;Tielmes;40,87;2610
142;28147;Titulcia;41,37;1274
143;28148;Torrejon de Ardoz;38,78;128013
144;28149;Torrejon de la Calzada;36,41;8418
145;28150;Torrejon de Velasco;37,76;4261
146;28151;Torrelaguna;40,75;4712
147;28152;Torrelodones;38,37;23128
148;28153;Torremocha de Jarama;47,09;942
149;28154;Torres de la Alameda;38,73;7825
150;28903;Tres Cantos;38,6;46046
151;28155;Valdaracete;44,45;643
152;28156;Valdeavero;38,98;1450
