Provincias;Sexo;Periodo;Total
Total;Total;2021;47.385.107
Total;Total;2020;47.450.795
Total;Total;2019;47.026.208
Total;Total;2018;46.722.980
Total;Total;2017;46.572.132
Total;Total;2016;46.557.008
Total;Total;2015;46.624.382
Total;Total;2014;46.771.341
Total;Total;2013;47.129.783
Total;Total;2012;47.265.321
Total;Total;2011;47.190.493
Total;Total;2010;47.021.031
Total;Total;2009;46.745.807
Total;Total;2008;46.157.822
Total;Total;2007;45.200.737
Total;Total;2006;44.708.964
Total;Total;2005;44.108.530
Total;Total;2004;43.197.684
Total;Total;2003;42.717.064
Total;Total;2002;41.837.894
Total;Total;2001;41.116.842
Total;Total;2000;40.499.791
Total;Total;1999;40.202.160
Total;Total;1998;39.852.651
Total;Total;1997;39.852.651
Total;Total;1996;39.669.394
Total;Hombres;2021;23.222.953
Total;Hombres;2020;23.255.590
Total;Hombres;2019;23.042.428
Total;Hombres;2018;22.896.602
Total;Hombres;2017;22.832.861
Total;Hombres;2016;22.843.610
Total;Hombres;2015;22.890.383
Total;Hombres;2014;22.985.676
Total;Hombres;2013;23.196.386
Total;Hombres;2012;23.298.356
Total;Hombres;2011;23.283.187
Total;Hombres;2010;23.226.185
Total;Hombres;2009;23.116.988
Total;Hombres;2008;22.847.737
Total;Hombres;2007;22.339.962
Total;Hombres;2006;22.100.466
Total;Hombres;2005;21.780.869
Total;Hombres;2004;21.285.247
Total;Hombres;2003;21.034.326
Total;Hombres;2002;20.564.089
Total;Hombres;2001;20.165.514
Total;Hombres;2000;19.821.384
Total;Hombres;1999;19.670.642
Total;Hombres;1998;19.488.465
Total;Hombres;1997;""
Total;Hombres;1996;19.399.549
Total;Mujeres;2021;24.162.154
Total;Mujeres;2020;24.195.205
Total;Mujeres;2019;23.983.780
Total;Mujeres;2018;23.826.378
Total;Mujeres;2017;23.739.271
Total;Mujeres;2016;23.713.398
Total;Mujeres;2015;23.733.999
Total;Mujeres;2014;23.785.665
Total;Mujeres;2013;23.933.397
Total;Mujeres;2012;23.966.965
Total;Mujeres;2011;23.907.306
Total;Mujeres;2010;23.794.846
Total;Mujeres;2009;23.628.819
Total;Mujeres;2008;23.310.085
Total;Mujeres;2007;22.860.775
Total;Mujeres;2006;22.608.498
Total;Mujeres;2005;22.327.661
Total;Mujeres;2004;21.912.437
Total;Mujeres;2003;21.682.738
Total;Mujeres;2002;21.273.805
Total;Mujeres;2001;20.951.328
Total;Mujeres;2000;20.678.407
Total;Mujeres;1999;20.531.518
Total;Mujeres;1998;20.364.186
Total;Mujeres;1997;""
Total;Mujeres;1996;20.269.845
02 Albacete;Total;2021;386.464
02 Albacete;Total;2020;388.270
02 Albacete;Total;2019;388.167
02 Albacete;Total;2018;388.786
02 Albacete;Total;2017;390.032
02 Albacete;Total;2016;392.118
02 Albacete;Total;2015;394.580
02 Albacete;Total;2014;396.987
02 Albacete;Total;2013;400.007
02 Albacete;Total;2012;402.837
02 Albacete;Total;2011;402.318
02 Albacete;Total;2010;401.682
02 Albacete;Total;2009;400.891
02 Albacete;Total;2008;397.493
02 Albacete;Total;2007;392.110
02 Albacete;Total;2006;387.658
02 Albacete;Total;2005;384.640
02 Albacete;Total;2004;379.448
02 Albacete;Total;2003;376.556
02 Albacete;Total;2002;371.787
02 Albacete;Total;2001;367.283
02 Albacete;Total;2000;363.263
02 Albacete;Total;1999;361.021
02 Albacete;Total;1998;358.597
02 Albacete;Total;1997;""
02 Albacete;Total;1996;359.010
02 Albacete;Hombres;2021;193.205
02 Albacete;Hombres;2020;194.081
02 Albacete;Hombres;2019;193.911
02 Albacete;Hombres;2018;194.158
02 Albacete;Hombres;2017;194.743
02 Albacete;Hombres;2016;195.841
02 Albacete;Hombres;2015;197.014
02 Albacete;Hombres;2014;198.230
02 Albacete;Hombres;2013;200.016
02 Albacete;Hombres;2012;201.640
02 Albacete;Hombres;2011;201.400
02 Albacete;Hombres;2010;201.396
02 Albacete;Hombres;2009;201.162
02 Albacete;Hombres;2008;199.820
02 Albacete;Hombres;2007;196.772
02 Albacete;Hombres;2006;194.348
02 Albacete;Hombres;2005;192.624
02 Albacete;Hombres;2004;189.743
02 Albacete;Hombres;2003;188.139
02 Albacete;Hombres;2002;185.458
02 Albacete;Hombres;2001;182.826
02 Albacete;Hombres;2000;180.311
02 Albacete;Hombres;1999;179.210
02 Albacete;Hombres;1998;178.058
02 Albacete;Hombres;1997;""
02 Albacete;Hombres;1996;178.130
02 Albacete;Mujeres;2021;193.259
02 Albacete;Mujeres;2020;194.189
02 Albacete;Mujeres;2019;194.256
02 Albacete;Mujeres;2018;194.628
02 Albacete;Mujeres;2017;195.289
02 Albacete;Mujeres;2016;196.277
02 Albacete;Mujeres;2015;197.566
02 Albacete;Mujeres;2014;198.757
02 Albacete;Mujeres;2013;199.991
02 Albacete;Mujeres;2012;201.197
02 Albacete;Mujeres;2011;200.918
02 Albacete;Mujeres;2010;200.286
02 Albacete;Mujeres;2009;199.729
02 Albacete;Mujeres;2008;197.673
02 Albacete;Mujeres;2007;195.338
02 Albacete;Mujeres;2006;193.310
02 Albacete;Mujeres;2005;192.016
02 Albacete;Mujeres;2004;189.705
02 Albacete;Mujeres;2003;188.417
02 Albacete;Mujeres;2002;186.329
02 Albacete;Mujeres;2001;184.457
02 Albacete;Mujeres;2000;182.952
02 Albacete;Mujeres;1999;181.811
02 Albacete;Mujeres;1998;180.539
02 Albacete;Mujeres;1997;""
02 Albacete;Mujeres;1996;180.880
