fecha;cod_municipio;municipio;cod_distrito;distrito;cod_barrio;barrio;num_personas;num_personas_hombres;num_personas_mujeres
1 de enero de 2021;28079;Madrid;01; Centro;01;Centro;141.236;71.881;69.355
1 de enero de 2021;28079;Madrid;02; Arganzuela;02;Arganzuela;154.243;72.000;82.243
1 de enero de 2021;28079;Madrid;03; Retiro;03;Retiro;118.557;53.800;64.757
1 de enero de 2021;28079;Madrid;04; Salamanca;04;Salamanca;146.016;64.540;81.476
1 de enero de 2021;28079;Madrid;05; Chamartín;05;Chamartín;145.700;65.599;80.101
1 de enero de 2021;28079;Madrid;06; Tetuán;06;Tetuán;159.849;72.752;87.097
1 de enero de 2021;28079;Madrid;07; Chamberí;07;Chamberí;138.667;61.313;77.354
1 de enero de 2021;28079;Madrid;08; Fuencarral-El Pardo;08;Fuencarral-ElPardo;247.692;116.520;131.172
1 de enero de 2021;28079;Madrid;09; Moncloa-Aravaca;09;Moncloa-Aravaca;120.834;55.588;65.246
1 de enero de 2021;28079;Madrid;10; Latina;10;Latina;240.155;111.209;128.946
1 de enero de 2021;28079;Madrid;11; Carabanchel;11;Carabanchel;258.633;120.600;138.033
1 de enero de 2021;28079;Madrid;12; Usera;12;Usera;142.454;67.230;75.224
1 de enero de 2021;28079;Madrid;13; Puente de Vallecas;13;PuentedeVallecas;239.057;113.355;125.702
1 de enero de 2021;28079;Madrid;14; Moratalaz;14;Moratalaz;93.810;42.662;51.148
1 de enero de 2021;28079;Madrid;15; Ciudad Lineal;15;CiudadLineal;216.818;98.514;118.304
1 de enero de 2021;28079;Madrid;16; Hortaleza;16;Hortaleza;193.228;91.585;101.643
1 de enero de 2021;28079;Madrid;17; Villaverde;17;Villaverde;154.808;73.947;80.861
1 de enero de 2021;28079;Madrid;18; Villa de Vallecas;18;VilladeVallecas;114.733;55.606;59.127
1 de enero de 2021;28079;Madrid;19; Vicálvaro;19;Vicálvaro;75.485;36.497;38.988
1 de enero de 2021;28079;Madrid;20; San Blas-Canillejas;20;SanBlas-Canillejas;160.258;75.788;84.470
1 de enero de 2021;28079;Madrid;21; Barajas;21;Barajas;50.077;24.171;25.906
1 de enero de 2021;28079;Madrid;01; Centro;011;Palacio;23.584;11.632;11.952
1 de enero de 2021;28079;Madrid;01; Centro;012;Embajadores;47.238;24.767;22.471
1 de enero de 2021;28079;Madrid;01; Centro;013;Cortes;10.787;5.379;5.408
1 de enero de 2021;28079;Madrid;01; Centro;014;Justicia;18.208;9.291;8.917
1 de enero de 2021;28079;Madrid;01; Centro;015;Universidad;33.426;16.692;16.734
1 de enero de 2021;28079;Madrid;01; Centro;016;Sol;7.993;4.120;3.873
1 de enero de 2021;28079;Madrid;02; Arganzuela;021;Imperial;22.596;10.446;12.150
1 de enero de 2021;28079;Madrid;02; Arganzuela;022;Acacias;36.395;16.741;19.654
1 de enero de 2021;28079;Madrid;02; Arganzuela;023;Chopera;20.077;9.118;10.959
1 de enero de 2021;28079;Madrid;02; Arganzuela;024;Legazpi;19.572;9.574;9.998
1 de enero de 2021;28079;Madrid;02; Arganzuela;025;Delicias;28.374;13.352;15.022
1 de enero de 2021;28079;Madrid;02; Arganzuela;026;PalosdeMoguer;25.785;12.059;13.726
1 de enero de 2021;28079;Madrid;02; Arganzuela;027;Atocha;1.444;710;734
1 de enero de 2021;28079;Madrid;03; Retiro;031;Pacífico;33.067;14.808;18.259
1 de enero de 2021;28079;Madrid;03; Retiro;032;Adelfas;18.653;8.610;10.043
1 de enero de 2021;28079;Madrid;03; Retiro;033;Estrella;23.051;10.636;12.415
1 de enero de 2021;28079;Madrid;03; Retiro;034;Ibiza;21.558;9.549;12.009
1 de enero de 2021;28079;Madrid;03; Retiro;035;LosJerónimos;6.928;3.232;3.696
1 de enero de 2021;28079;Madrid;03; Retiro;036;NiñoJesús;15.300;6.965;8.335
1 de enero de 2021;28079;Madrid;04; Salamanca;041;Recoletos;15.629;7.048;8.581
1 de enero de 2021;28079;Madrid;04; Salamanca;042;Goya;29.479;12.820;16.659
1 de enero de 2021;28079;Madrid;04; Salamanca;043;FuentedelBerro;20.963;9.155;11.808
1 de enero de 2021;28079;Madrid;04; Salamanca;044;Guindalera;41.939;18.991;22.948
1 de enero de 2021;28079;Madrid;04; Salamanca;045;Lista;20.864;9.029;11.835
1 de enero de 2021;28079;Madrid;04; Salamanca;046;Castellana;17.142;7.497;9.645
1 de enero de 2021;28079;Madrid;05; Chamartín;051;ElViso;17.349;7.811;9.538
1 de enero de 2021;28079;Madrid;05; Chamartín;052;Prosperidad;36.303;16.219;20.084
1 de enero de 2021;28079;Madrid;05; Chamartín;053;CiudadJardín;18.618;8.306;10.312
1 de enero de 2021;28079;Madrid;05; Chamartín;054;Hispanoamérica;31.642;14.214;17.428
1 de enero de 2021;28079;Madrid;05; Chamartín;055;NuevaEspaña;24.697;11.150;13.547
1 de enero de 2021;28079;Madrid;05; Chamartín;056;Castilla;17.091;7.899;9.192
1 de enero de 2021;28079;Madrid;06; Tetuán;061;BellasVistas;29.465;13.461;16.004
1 de enero de 2021;28079;Madrid;06; Tetuán;062;CuatroCaminos;34.817;15.717;19.100
1 de enero de 2021;28079;Madrid;06; Tetuán;063;Castillejos;20.541;9.217;11.324
1 de enero de 2021;28079;Madrid;06; Tetuán;064;Almenara;22.738;10.470;12.268
1 de enero de 2021;28079;Madrid;06; Tetuán;065;Valdeacederas;26.625;12.414;14.211
1 de enero de 2021;28079;Madrid;06; Tetuán;066;Berruguete;25.663;11.473;14.190
1 de enero de 2021;28079;Madrid;07; Chamberí;071;Gaztambide;22.948;10.106;12.842
1 de enero de 2021;28079;Madrid;07; Chamberí;072;Arapiles;24.260;10.884;13.376
1 de enero de 2021;28079;Madrid;07; Chamberí;073;Trafalgar;24.628;11.029;13.599
1 de enero de 2021;28079;Madrid;07; Chamberí;074;Almagro;19.546;8.667;10.879
1 de enero de 2021;28079;Madrid;07; Chamberí;075;RíosRosas;27.216;11.977;15.239
1 de enero de 2021;28079;Madrid;07; Chamberí;076;Vallehermoso;20.069;8.650;11.419
1 de enero de 2021;28079;Madrid;08; Fuencarral-El Pardo;081;ElPardo;3.443;1.723;1.720
1 de enero de 2021;28079;Madrid;08; Fuencarral-El Pardo;082;Fuentelarreina;3.356;1.511;1.845
1 de enero de 2021;28079;Madrid;08; Fuencarral-El Pardo;083;Peñagrande;44.383;20.584;23.799
1 de enero de 2021;28079;Madrid;08; Fuencarral-El Pardo;084;Pilar;45.970;20.963;25.007
1 de enero de 2021;28079;Madrid;08; Fuencarral-El Pardo;085;LaPaz;33.005;15.368;17.637
1 de enero de 2021;28079;Madrid;08; Fuencarral-El Pardo;086;Valverde;64.042;30.504;33.538
1 de enero de 2021;28079;Madrid;08; Fuencarral-El Pardo;087;Mirasierra;34.565;16.520;18.045
1 de enero de 2021;28079;Madrid;08; Fuencarral-El Pardo;088;ElGoloso;18.928;9.347;9.581
1 de enero de 2021;28079;Madrid;09; Moncloa-Aravaca;091;CasadeCampo;13.066;6.058;7.008
1 de enero de 2021;28079;Madrid;09; Moncloa-Aravaca;092;Argüelles;24.162;10.974;13.188
1 de enero de 2021;28079;Madrid;09; Moncloa-Aravaca;093;CiudadUniversitaria;16.175;7.417;8.758
1 de enero de 2021;28079;Madrid;09; Moncloa-Aravaca;094;Valdezarza;30.091;13.744;16.347
1 de enero de 2021;28079;Madrid;09; Moncloa-Aravaca;095;Valdemarín;6.856;3.163;3.693
1 de enero de 2021;28079;Madrid;09; Moncloa-Aravaca;096;ElPlantío;2.916;1.336;1.580
1 de enero de 2021;28079;Madrid;09; Moncloa-Aravaca;097;Aravaca;27.568;12.896;14.672
1 de enero de 2021;28079;Madrid;10; Latina;101;LosCármenes;17.577;8.338;9.239
1 de enero de 2021;28079;Madrid;10; Latina;102;PuertadelÁngel;41.982;19.344;22.638
1 de enero de 2021;28079;Madrid;10; Latina;103;Lucero;36.576;17.056;19.520
1 de enero de 2021;28079;Madrid;10; Latina;104;Aluche;66.968;30.626;36.342
1 de enero de 2021;28079;Madrid;10; Latina;105;Campamento;19.579;9.029;10.550
1 de enero de 2021;28079;Madrid;10; Latina;106;CuatroVientos;5.874;2.926;2.948
1 de enero de 2021;28079;Madrid;10; Latina;107;Águilas;51.599;23.890;27.709
1 de enero de 2021;28079;Madrid;11; Carabanchel;111;Comillas;22.695;10.471;12.224
1 de enero de 2021;28079;Madrid;11; Carabanchel;112;Opañel;33.656;15.385;18.271
1 de enero de 2021;28079;Madrid;11; Carabanchel;113;SanIsidro;39.728;18.584;21.144
1 de enero de 2021;28079;Madrid;11; Carabanchel;114;VistaAlegre;47.082;21.440;25.642
1 de enero de 2021;28079;Madrid;11; Carabanchel;115;PuertaBonita;35.947;16.868;19.079
1 de enero de 2021;28079;Madrid;11; Carabanchel;116;Buenavista;48.008;23.176;24.832
1 de enero de 2021;28079;Madrid;11; Carabanchel;117;Abrantes;31.517;14.676;16.841
1 de enero de 2021;28079;Madrid;12; Usera;121;Orcasitas;23.095;10.880;12.215
1 de enero de 2021;28079;Madrid;12; Usera;122;Orcasur;14.141;6.842;7.299
1 de enero de 2021;28079;Madrid;12; Usera;123;SanFermín;23.838;11.382;12.456
1 de enero de 2021;28079;Madrid;12; Usera;124;Almendrales;22.516;10.543;11.973
1 de enero de 2021;28079;Madrid;12; Usera;125;Moscardó;26.623;12.435;14.188
1 de enero de 2021;28079;Madrid;12; Usera;126;Zofío;14.336;6.733;7.603
1 de enero de 2021;28079;Madrid;12; Usera;127;Pradolongo;17.905;8.415;9.490
1 de enero de 2021;28079;Madrid;13; Puente de Vallecas;131;Entrevías;35.239;16.925;18.314
1 de enero de 2021;28079;Madrid;13; Puente de Vallecas;132;SanDiego;43.574;20.793;22.781
